ICDNames,ICDCode
Other specified factors influencing health status or contact with health services,QF4Y
"Factors influencing health status or contact with health services, unspecified",QF4Z
Conditions of uncertain aetiology and emergency use,RA00
Vaping related disorder,RA00.0
COVID-19,RA01
"COVID-19, virus identified",RA01.0
"COVID-19, virus not identified",RA01.1
Post COVID-19 condition,RA02
Multisystem inflammatory syndrome associated with COVID-19,RA03
International emergency code 05,RA04
International emergency code 06,RA05
International emergency code 07,RA06
International emergency code 08,RA07
International emergency code 09,RA08
International emergency code 10,RA09
National emergency code 01,RA20
National emergency code 02,RA21
National emergency code 03,RA22
National emergency code 04,RA23
National emergency code 05,RA24
National emergency code 06,RA25
National emergency code 07,RA26
Acute amoebiasis,1A36.00
Amoeboma of intestine,1A36.01
"Intestinal infections due to Entamoeba, unspecified",1A36.0Z
Amoebic liver abscess,1A36.10
Amoebic lung abscess,1A36.11
Cutaneous amoebiasis,1A36.12
Amoebiasis of other specified sites,1A36.1Y
Asymptomatic neurosyphilis,1A62.00
Symptomatic late neurosyphilis,1A62.01
"Neurosyphilis, unspecified",1A62.0Z
Ocular late syphilis,1A62.20
Late syphilis involving the musculoskeletal system,1A62.21
Late syphilis of skin or mucous membranes,1A62.22
Symptomatic late syphilis of other specified sites,1A62.2Y
Symptomatic late syphilis of unspecified site,1A62.2Z
Gonorrhoea of penis,1A70.00
Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,1A70.0Y
"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",1A70.0Z
Tuberculosis of bones or joints,1B12.40
Tuberculous myositis,1B12.41
Tuberculosis of other specified part of the musculoskeletal system,1B12.4Y
"Tuberculosis of the musculoskeletal system, unspecified",1B12.4Z
Type I leprosy reaction,1B20.20
Type II leprosy reaction,1B20.21
Mycobacterium ulcerans infection,1B21.20
Cutaneous infection due to other specified non-tuberculous mycobacteria,1B21.2Y
Cutaneous infection due to unspecified non-tuberculous mycobacteria,1B21.2Z
Rheumatic aortitis,1B41.10
Other specified acute rheumatic endocarditis,1B41.1Y
"Acute rheumatic endocarditis, unspecified",1B41.1Z
Erysipelas of face,1B70.00
Erysipelas of external ear,1B70.01
Erysipelas of lower limb,1B70.02
Erysipelas of other specified site,1B70.0Y
Oroya fever,1C11.00
Verruga peruana,1C11.01
Postdiphtheritic paralysis of uvula,1C17.00
Other specified pharyngeal or tonsillar diphtheria,1C17.0Y
"Pharyngeal or tonsillar diphtheria, unspecified",1C17.0Z
Acute meningococcaemia,1C1C.20
Other specified meningococcaemia,1C1C.2Y
"Meningococcaemia, unspecified",1C1C.2Z
Lyme neuroborreliosis,1C1G.10
Lyme carditis,1C1G.11
Ophthalmic Lyme borreliosis,1C1G.12
Lyme arthritis,1C1G.13
Late cutaneous Lyme borreliosis,1C1G.14
Other specified disseminated Lyme borreliosis,1C1G.1Y
"Disseminated Lyme borreliosis, unspecified",1C1G.1Z
Kaposi sarcoma associated with human immunodeficiency virus disease associated with tuberculosis,1C60.30
Other specified HIV disease clinical stage 4 associated with tuberculosis,1C60.3Y
"HIV disease clinical stage 4 associated with tuberculosis, unspecified",1C60.3Z
Kaposi sarcoma associated with human immunodeficiency virus disease associated with malaria,1C61.30
Other specified HIV disease clinical stage 4 associated with malaria,1C61.3Y
"HIV disease clinical stage 4 associated with malaria, unspecified",1C61.3Z
Meningitis due to Haemophilus influenzae,1D01.00
Other specified bacterial meningitis,1D01.0Y
"Bacterial meningitis, unspecified",1D01.0Z
Meningitis due to Cryptococcus neoformans,1D01.10
Other specified fungal meningitis,1D01.1Y
"Fungal meningitis, unspecified",1D01.1Z
Deep cerebral hemispheric abscess,1D03.30
Abscess of the corpus callosum,1D03.31
Pituitary abscess,1D03.32
Multiple or widespread intracranial abscess,1D03.33
Other specified intracranial abscess,1D03.3Y
"Intracranial abscess, unspecified",1D03.3Z
Fungal intracranial granuloma,1D04.10
Other specified intracranial granuloma,1D04.1Y
"Intracranial granuloma, unspecified",1D04.1Z
Bundibugyo virus disease,1D60.00
Ebola virus disease,1D60.01
Sudan virus disease,1D60.02
Atypical Ebola disease,1D60.03
Other specified Ebola disease,1D60.0Y
"Ebola disease, virus unspecified",1D60.0Z
Marburg virus disease,1D60.10
Atypical Marburg disease,1D60.11
Other specified Marburg disease,1D60.1Y
"Marburg disease, virus unspecified",1D60.1Z
Chronic hepatitis B with human immunodeficiency virus co-infection,1E51.00
Other specified chronic hepatitis B,1E51.0Y
"Chronic hepatitis B, unspecified",1E51.0Z
Acute trigeminal zoster neuropathy,1E91.40
Acute herpetic geniculate ganglionitis,1E91.41
Other specified acute neuropathy of cranial nerve due to zoster,1E91.4Y
Herpes simplex infection of skin,1F00.00
Herpes simplex labialis,1F00.01
Herpes simplex gingivostomatitis,1F00.02
Disseminated cutaneous herpes simplex infection complicating other skin diseases,1F00.03
Other specified herpes simplex infection of skin or mucous membrane,1F00.0Y
Herpes simplex keratitis,1F00.10
Herpes simplex infection of eyelid,1F00.11
Other specified herpes simplex infection of the eye,1F00.1Y
"Herpes simplex infection of the eye, unspecified",1F00.1Z
Herpes simplex meningitis,1F00.20
Encephalitis due to herpes simplex virus,1F00.21
Invasive aspergillosis of the digestive tract,1F20.00
Invasive cerebral aspergillosis,1F20.01
Disseminated aspergillosis,1F20.02
Invasive aspergillosis of other specified site,1F20.0Y
Aspergillus otomycosis,1F20.10
Chronic aspergillosis of the paranasal sinuses,1F20.11
Chronic pulmonary aspergillosis,1F20.12
Tonsillar aspergillosis,1F20.13
Aspergillus bronchitis,1F20.14
Obstructing aspergillus tracheobronchitis,1F20.15
Other specified non-invasive aspergillosis,1F20.1Y
Vulvovaginal candidosis,1F23.10
Candida balanoposthitis,1F23.11
Flexural or intertriginous candidosis,1F23.12
Candidosis of nail or paronychium,1F23.13
Chronic mucocutaneous candidosis,1F23.14
Disseminated cutaneous candidosis,1F23.15
Candida otomycosis,1F23.16
Candidosis of skin or mucous membrane of other specified site,1F23.1Y
"Candidosis of skin or mucous membranes, unspecified",1F23.1Z
Candida meningitis,1F23.30
Pulmonary candidosis,1F23.31
Other specified systemic or invasive candidosis,1F23.3Y
"Systemic or invasive candidosis, unspecified",1F23.3Z
Acute pulmonary coccidioidomycosis,1F25.00
Chronic pulmonary coccidioidomycosis,1F25.01
Disseminated coccidioidomycosis,1F25.10
Primary cutaneous coccidioidomycosis,1F25.11
Coccidioides meningitis,1F25.12
Other specified extrathoracic coccidioidomycosis,1F25.1Y
Meningitis in Gambiense trypanosomiasis,1F51.00
Other specified gambiense trypanosomiasis,1F51.0Y
"Gambiense trypanosomiasis, unspecified",1F51.0Z
Meningitis in Rhodesiense trypanosomiasis,1F51.10
Other specified rhodesiense trypanosomiasis,1F51.1Y
"Rhodesiense trypanosomiasis, unspecified",1F51.1Z
Filariasis due to Wuchereria bancrofti,1F66.30
Filariasis due to Brugia malayi,1F66.31
Filariasis due to Brugia timori,1F66.32
"Lymphatic filariasis, unspecified",1F66.3Z
Meningitis due to Cysticercosis,1F70.00
Glioblastoma of brain,2A00.00
Other specified gliomas of brain,2A00.0Y
"Gliomas of brain, unspecified",2A00.0Z
Medulloblastoma of brain,2A00.10
Central primitive neuroectodermal tumour,2A00.11
Other specified embryonal tumours of brain,2A00.1Y
"Embryonal tumours of brain, unspecified",2A00.1Z
Tumours of the pineal gland or pineal region,2A00.20
Mixed neuronal-glial tumours,2A00.21
Choroid plexus tumours,2A00.22
Other specified tumours of neuroepithelial tissue of brain,2A00.2Y
"Tumours of neuroepithelial tissue of brain, unspecified",2A00.2Z
Primary malignant meningioma,2A01.00
Other specified meningiomas,2A01.0Y
"Meningiomas, unspecified",2A01.0Z
"Glioblastoma of spinal cord, cranial nerves or other parts of central nervous system",2A02.00
"Other specified gliomas of spinal cord, cranial nerves or other parts of the central nervous system",2A02.0Y
"Gliomas of spinal cord, cranial nerves or other parts of the central nervous system, unspecified",2A02.0Z
Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves,2A02.10
Paraspinal neuroblastoma,2A02.11
Malignant neoplasm of the optic nerve,2A02.12
Other specified tumours of cranial or paraspinal nerves,2A02.1Y
